"","country","group","subgroup","gender","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"139","Cambodia","Asia","South-Eastern Asia","f",660,2239,3333,2882,2359,2035,1479,1102,850,617,456,409,381,318,62,109
"140","Cambodia","Asia","South-Eastern Asia","m",798,2413,3219,2586,2132,1975,1540,1178,911,665,486,420,363,269,55,74
"141","Indonesia","Asia","South-Eastern Asia","f",19372,18835,20328,22225,23657,24294,24291,21635,18259,13681,10692,7577,5303,2651,1325,1602
"142","Indonesia","Asia","South-Eastern Asia","m",17379,16467,17314,18704,19996,21544,23424,22924,20873,16666,13172,8797,6159,3080,1540,1846
"143","Lao People's Democratic Republic","Asia","South-Eastern Asia","f",1042,1234,1376,1332,1264,1135,889,630,463,390,342,292,263,199,79,130
"144","Lao People's Democratic Republic","Asia","South-Eastern Asia","m",903,1094,1249,1316,1386,1359,1111,815,614,529,463,369,272,164,66,96
"145","Malaysia","Asia","South-Eastern Asia","f",23172,20424,27041,42760,49289,41809,30010,19525,11515,6586,4036,2836,2254,2294,3027,3534
"146","Malaysia","Asia","South-Eastern Asia","m",23429,21863,32479,55404,70721,65025,49057,32942,19922,11573,6907,4476,3065,2627,3019,3299
"147","Myanmar","Asia","South-Eastern Asia","f",2879,3390,3492,5492,7302,8168,7364,6124,4558,3646,2569,2004,1351,987,611,1298
"148","Myanmar","Asia","South-Eastern Asia","m",3139,3716,5051,6826,8215,8836,8217,7136,5609,4629,3373,2636,1778,1311,722,1116
"149","Philippines","Asia","South-Eastern Asia","f",7573,6912,6130,5608,5438,5370,5078,4518,3953,3537,3157,2773,2678,3029,3419,3551
"150","Philippines","Asia","South-Eastern Asia","m",6334,5840,5342,5158,5355,5754,6087,6163,6012,5711,5095,4165,3534,3496,3631,3670
"151","Singapore","Asia","South-Eastern Asia","f",6912,7940,10414,15919,29209,43732,42730,38315,33511,27628,24326,20693,18184,16666,15816,29425
"152","Singapore","Asia","South-Eastern Asia","m",7638,8827,11224,15573,25038,34651,34059,32369,29739,25618,23790,23702,21101,18461,13652,20400
"153","Thailand","Asia","South-Eastern Asia","f",11100,18648,26427,30398,34521,34869,25465,17326,11713,7624,5306,4154,3825,4132,4784,4915
"154","Thailand","Asia","South-Eastern Asia","m",10483,16073,23886,29726,36820,40535,32368,24341,18507,13742,10394,7466,5436,4573,4597,4539
"155","Timor-Leste","Asia","South-Eastern Asia","f",437,302,258,313,568,734,665,476,283,156,91,69,70,32,17,33
"156","Timor-Leste","Asia","South-Eastern Asia","m",498,325,244,249,394,506,537,508,406,278,178,128,109,48,20,22
"157","Viet Nam","Asia","South-Eastern Asia","f",1215,1439,1604,1553,1473,1324,1037,735,540,455,399,341,307,233,93,140
"158","Viet Nam","Asia","South-Eastern Asia","m",1177,1424,1624,1704,1786,1744,1423,1043,785,676,592,472,352,214,86,128
"159","Afghanistan","Asia","Southern Asia","f",1541,1634,2013,2550,3154,3360,2911,2208,1581,1158,886,728,650,377,150,227
"160","Afghanistan","Asia","Southern Asia","m",2135,2143,2471,2795,3305,3760,3644,3103,2431,1839,1446,1199,1077,605,242,363
"161","Bangladesh","Asia","Southern Asia","f",13503,9773,19675,23597,19801,13100,7397,4375,3110,2223,1558,1281,1327,722,288,435
"162","Bangladesh","Asia","Southern Asia","m",31403,28641,76115,140693,170617,136264,75766,37899,22749,13598,8587,6112,5614,2697,1079,1618
"163","Bhutan","Asia","Southern Asia","f",205,203,195,303,1039,514,372,394,300,268,181,125,103,63,49,84
"164","Bhutan","Asia","Southern Asia","m",275,317,371,888,5361,3720,2456,2111,1347,1015,574,330,231,164,114,135
"165","India","Asia","Southern Asia","f",17941,28040,79132,147929,215189,284546,315287,317297,283957,253481,215165,182263,166584,161820,174682,735495
"166","India","Asia","Southern Asia","m",19179,30805,89200,166291,233696,299005,335597,356031,333260,302014,253527,207850,180184,175032,179013,753712
"167","Iran (Islamic Republic of)","Asia","Southern Asia","f",116287,129046,195239,245753,262778,245491,183684,121006,78818,67233,55368,51012,37040,23068,9226,13852
"168","Iran (Islamic Republic of)","Asia","Southern Asia","m",122280,145442,236268,321417,365567,354729,269071,174138,107949,87849,72076,69845,53952,38060,15225,22832
"169","Maldives","Asia","Southern Asia","f",252,218,205,202,368,557,528,438,356,249,177,118,79,61,37,67
"170","Maldives","Asia","Southern Asia","m",259,242,232,221,405,636,639,559,478,347,253,175,120,85,48,78
"171","Nepal","Asia","Southern Asia","f",5712,8697,12248,28955,41921,42765,37697,30857,24568,19924,13922,10620,10793,6809,3842,4678
"172","Nepal","Asia","Southern Asia","m",5792,9374,11802,12099,11914,12558,11675,11452,8807,8093,6057,4986,4508,2997,1726,2126
"173","Pakistan","Asia","Southern Asia","f",304004,282103,249375,228956,215434,211810,204607,194093,172991,146660,115690,96415,82803,73254,77266,288363
"174","Pakistan","Asia","Southern Asia","m",317244,295243,265024,248350,235625,231590,226980,223308,204858,176565,139607,113898,94720,84540,85472,321356
"175","Sri Lanka","Asia","Southern Asia","f",1005,1183,1016,866,853,967,1119,1165,1381,1416,1471,1471,1279,1067,843,1036
"176","Sri Lanka","Asia","Southern Asia","m",1054,1241,1067,904,663,834,1119,1275,1983,2154,2398,2229,2000,1626,1319,1557
"177","Armenia","Asia","Western Asia","f",7712,7677,11000,19471,21074,23433,28180,37438,47591,43369,36877,31151,30528,16683,8102,17968
"178","Armenia","Asia","Western Asia","m",8251,7928,10903,17667,16790,16317,18228,24494,31930,28927,24199,20229,19825,10754,4794,9299
"179","Azerbaijan","Asia","Western Asia","f",4882,6184,8203,10340,11502,13563,16791,20459,22163,20448,17816,16970,16308,7602,5067,4446
"180","Azerbaijan","Asia","Western Asia","m",5307,6508,8326,9749,9778,10561,12637,15549,16886,15395,13276,12429,11329,4502,3002,2622
"181","Bahrain","Asia","Western Asia","f",5504,4567,2949,1940,5735,8813,8691,5932,3171,1456,813,397,226,114,86,88
"182","Bahrain","Asia","Western Asia","m",5853,4874,3225,2095,9377,21411,28326,22109,12857,6437,3426,1579,688,230,112,131
"183","Cyprus","Asia","Western Asia","f",993,1853,2180,2402,2406,2333,2221,1947,1568,1060,908,839,992,620,453,567
"184","Cyprus","Asia","Western Asia","m",877,1851,2400,2356,2033,1797,1706,1571,1328,932,809,730,815,555,349,354
"185","Georgia","Asia","Western Asia","f",6607,6628,7551,8925,9861,10904,12960,15637,17537,17225,15846,14593,14870,11896,8327,10839
"186","Georgia","Asia","Western Asia","m",7615,7384,8085,8779,8565,8332,9237,11265,12937,12636,11443,10439,10162,8130,5691,7394
"187","Iraq","Asia","Western Asia","f",784,2182,3710,4063,3616,2936,2233,1732,1481,1271,1112,914,701,575,230,347
"188","Iraq","Asia","Western Asia","m",1347,3650,6062,7142,6901,6627,6090,5322,3732,2586,1942,1537,1112,851,340,510
"189","Israel","Asia","Western Asia","f",7566,20630,24825,27702,34842,45076,56282,65432,78285,81428,72416,75107,71771,68324,51349,80892
"190","Israel","Asia","Western Asia","m",7850,21734,26579,29297,34968,42359,51034,59310,69740,72768,64964,66827,61886,59515,42295,59651
"191","Jordan","Asia","Western Asia","f",86161,76872,58743,49927,52077,44541,37777,31773,27111,21958,18645,17407,14073,9767,6109,6935
"192","Jordan","Asia","Western Asia","m",90063,80288,61185,52210,54873,46932,39487,33256,28668,23411,19762,18215,14501,10068,6362,7192
"193","Kuwait","Asia","Western Asia","f",65309,68393,57805,51149,31772,27665,28305,26185,19914,15865,10660,6143,4940,2700,1188,1520
"194","Kuwait","Asia","Western Asia","m",70457,74087,63244,58447,41071,49105,72213,63969,51055,46114,29445,16982,8929,4881,2147,2732
"195","Lebanon","Asia","Western Asia","f",32728,30080,26482,26216,27319,24727,20507,15746,12052,9477,8131,7712,5973,3142,2276,3203
"196","Lebanon","Asia","Western Asia","m",34076,31212,27226,27388,29250,26445,21395,16494,13127,10664,8942,8071,5860,2868,2043,2861
"197","Oman","Asia","Western Asia","f",6898,6171,3740,1634,5411,10963,10977,7701,4080,1922,887,453,312,167,104,103
"198","Oman","Asia","Western Asia","m",7483,6838,4206,1990,16581,48167,52991,46722,30636,15608,7334,2503,934,245,131,108
"199","Qatar","Asia","Western Asia","f",12444,10597,8049,4961,7878,9676,9843,7572,5088,3022,1905,1080,740,503,302,161
"200","Qatar","Asia","Western Asia","m",15512,13365,10921,8018,17082,29263,39779,35160,25364,15182,9077,3912,1756,872,447,222
"201","Saudi Arabia","Asia","Western Asia","f",235570,214126,152221,82155,142599,230416,237349,172486,91660,46683,26777,14459,10515,5527,5081,5948
"202","Saudi Arabia","Asia","Western Asia","m",193553,176003,122837,91181,246345,598280,689422,520404,331803,177826,97275,39641,22028,7640,5408,5227
"203","State of Palestine","Asia","Western Asia","f",6408,13139,15411,16286,15809,14357,11254,9006,8193,7881,7783,7864,7399,6315,4277,4849
"204","State of Palestine","Asia","Western Asia","m",7128,14058,15801,15463,13268,10216,6752,5049,5001,5659,6181,6296,7287,5421,3749,4772
"205","Syrian Arab Republic","Asia","Western Asia","f",21844,17671,13111,10677,32417,66636,68867,54908,30754,16885,8737,4191,2040,644,452,229
