"","country","year","population"
"553","Belgium","1985",9.8582
"554","Belgium","1986",9.8618
"555","Belgium","1987",9.8702
"556","Belgium","1988",9.884
"557","Belgium","1989",9.9377
"558","Belgium","1990",9.96931
"559","Belgium","1991",10.00449
"560","Belgium","1992",10.04562
"561","Belgium","1993",10.08543
"562","Belgium","1994",10.12291
"563","Belgium","1995",10.15546
"564","Belgium","1996",10.17893
"565","Belgium","1997",10.19979
"566","Belgium","1998",10.21703
"567","Belgium","1999",10.23566
"568","Belgium","2000",10.26362
"569","Belgium","2001",10.29168
"570","Belgium","2002",10.31197
"571","Belgium","2003",10.33082
"572","Belgium","2004",10.34828
"573","Belgium","2005",10.36439
"574","Belgium","2006",10.37907
"575","Belgium","2007",10.39223
"576","Belgium","2008",10.40395
"577","Belgium","2009",10.41434
"578","Belgium","2010",10.42349
"579","Belize","1980",0.14442
"580","Belize","1981",0.14921
"581","Belize","1982",0.1533
"582","Belize","1983",0.15685
"583","Belize","1984",0.16081
"584","Belize","1985",0.16556
"585","Belize","1986",0.17124
"586","Belize","1987",0.17635
"587","Belize","1988",0.1814
"588","Belize","1989",0.18643
"589","Belize","1990",0.19087
"590","Belize","1991",0.19575
"591","Belize","1992",0.20082
"592","Belize","1993",0.20609
"593","Belize","1994",0.21155
"594","Belize","1995",0.21717
"595","Belize","1996",0.22297
"596","Belize","1997",0.22895
"597","Belize","1998",0.23513
"598","Belize","1999",0.24148
"599","Belize","2000",0.248
"600","Belize","2001",0.25464
"601","Belize","2002",0.2613
"602","Belize","2003",0.26796
"603","Belize","2004",0.27462
"604","Belize","2005",0.28129
"605","Belize","2006",0.28795
"606","Belize","2007",0.29461
"607","Belize","2008",0.30127
"608","Belize","2009",0.3079
"609","Belize","2010",0.31452
"610","Benin","1980",3.45806
"611","Benin","1981",3.56485
"612","Benin","1982",3.67513
"613","Benin","1983",3.78904
"614","Benin","1984",3.90705
"615","Benin","1985",4.03048
"616","Benin","1986",4.15785
"617","Benin","1987",4.28791
"618","Benin","1988",4.42211
"619","Benin","1989",4.56116
"620","Benin","1990",4.70544
"621","Benin","1991",4.85506
"622","Benin","1992",5.01014
"623","Benin","1993",5.25036
"624","Benin","1994",5.48815
"625","Benin","1995",5.64683
"626","Benin","1996",5.82023
"627","Benin","1997",6.00623
"628","Benin","1998",6.20232
"629","Benin","1999",6.40677
"630","Benin","2000",6.61912
"631","Benin","2001",6.83901
"632","Benin","2002",7.06449
"633","Benin","2003",7.29371
"634","Benin","2004",7.52683
"635","Benin","2005",7.77771
"636","Benin","2006",8.03171
"637","Benin","2007",8.27816
"638","Benin","2008",8.53255
"639","Benin","2009",8.79183
"640","Benin","2010",9.05601
"641","Bermuda","1980",0.05473
"642","Bermuda","1981",0.05491
"643","Bermuda","1982",0.05517
"644","Bermuda","1983",0.05551
"645","Bermuda","1984",0.05585
"646","Bermuda","1985",0.05618
"647","Bermuda","1986",0.05651
"648","Bermuda","1987",0.05683
"649","Bermuda","1988",0.05717
"650","Bermuda","1989",0.05749
"651","Bermuda","1990",0.05778
"652","Bermuda","1991",0.0581
"653","Bermuda","1992",0.0587
"654","Bermuda","1993",0.05924
"655","Bermuda","1994",0.05975
"656","Bermuda","1995",0.06029
"657","Bermuda","1996",0.06087
"658","Bermuda","1997",0.06145
"659","Bermuda","1998",0.06198
"660","Bermuda","1999",0.06251
"661","Bermuda","2000",0.06306
"662","Bermuda","2001",0.06361
"663","Bermuda","2002",0.06418
"664","Bermuda","2003",0.06476
"665","Bermuda","2004",0.06534
"666","Bermuda","2005",0.06591
"667","Bermuda","2006",0.06644
"668","Bermuda","2007",0.06692
"669","Bermuda","2008",0.06739
"670","Bermuda","2009",0.06784
"671","Bermuda","2010",0.06827
"672","Bhutan","1980",0.44604
"673","Bhutan","1981",0.46195
"674","Bhutan","1982",0.47824
"675","Bhutan","1983",0.49489
"676","Bhutan","1984",0.51189
"677","Bhutan","1985",0.5292
"678","Bhutan","1986",0.54681
"679","Bhutan","1987",0.56472
"680","Bhutan","1988",0.58289
"681","Bhutan","1989",0.59961
"682","Bhutan","1990",0.61474
"683","Bhutan","1991",0.62504
"684","Bhutan","1992",0.60166
"685","Bhutan","1993",0.57669
"686","Bhutan","1994",0.57472
"687","Bhutan","1995",0.56631
"688","Bhutan","1996",0.56533
"689","Bhutan","1997",0.57484
"690","Bhutan","1998",0.58527
"691","Bhutan","1999",0.59563
"692","Bhutan","2000",0.60587
"693","Bhutan","2001",0.61598
"694","Bhutan","2002",0.62594
"695","Bhutan","2003",0.63576
"696","Bhutan","2004",0.64541
"697","Bhutan","2005",0.6549
"698","Bhutan","2006",0.66421
"699","Bhutan","2007",0.67335
"700","Bhutan","2008",0.68232
"701","Bhutan","2009",0.69114
"702","Bhutan","2010",0.69985
"703","Bolivia","1980",5.4413
"704","Bolivia","1981",5.54522
"705","Bolivia","1982",5.64222
"706","Bolivia","1983",5.73743
"707","Bolivia","1984",5.83429
"708","Bolivia","1985",5.93494
"709","Bolivia","1986",6.04135
"710","Bolivia","1987",6.15637
"711","Bolivia","1988",6.28316
"712","Bolivia","1989",6.42314
"713","Bolivia","1990",6.5739
"714","Bolivia","1991",6.73148
"715","Bolivia","1992",6.89345
"716","Bolivia","1993",7.05434
"717","Bolivia","1994",7.21481
"718","Bolivia","1995",7.37487
"719","Bolivia","1996",7.5344
"720","Bolivia","1997",7.69515
"721","Bolivia","1998",7.8589
"722","Bolivia","1999",8.02556
"723","Bolivia","2000",8.1951
"724","Bolivia","2001",8.36745
"725","Bolivia","2002",8.54249
"726","Bolivia","2003",8.71906
"727","Bolivia","2004",8.89597
"728","Bolivia","2005",9.07294
"729","Bolivia","2006",9.24971
"730","Bolivia","2007",9.42594
"731","Bolivia","2008",9.60126
"732","Bolivia","2009",9.77525
"733","Bolivia","2010",9.94742
"734","Bosnia and Herzegovina","1992",4.25601
"735","Bosnia and Herzegovina","1993",3.95502
"736","Bosnia and Herzegovina","1994",3.78498
"737","Bosnia and Herzegovina","1995",3.70896
"738","Bosnia and Herzegovina","1996",3.6085
"739","Bosnia and Herzegovina","1997",3.607
"740","Bosnia and Herzegovina","1998",3.81758
"741","Bosnia and Herzegovina","1999",3.95865
"742","Bosnia and Herzegovina","2000",4.03546
"743","Bosnia and Herzegovina","2001",4.11129
"744","Bosnia and Herzegovina","2002",4.16542
"745","Bosnia and Herzegovina","2003",4.24318
"746","Bosnia and Herzegovina","2004",4.34559
"747","Bosnia and Herzegovina","2005",4.43049
"748","Bosnia and Herzegovina","2006",4.49898
"749","Bosnia and Herzegovina","2007",4.5522
"750","Bosnia and Herzegovina","2008",4.59031
"751","Bosnia and Herzegovina","2009",4.61341
"752","Bosnia and Herzegovina","2010",4.6216
"753","Botswana","1980",0.90048
"754","Botswana","1981",0.93444
"755","Botswana","1982",0.97065
"756","Botswana","1983",1.00702
"757","Botswana","1984",1.0434
"758","Botswana","1985",1.07969
"759","Botswana","1986",1.11576
"760","Botswana","1987",1.15201
"761","Botswana","1988",1.18894
"762","Botswana","1989",1.22652
"763","Botswana","1990",1.26461
"764","Botswana","1991",1.3031
"765","Botswana","1992",1.34473
"766","Botswana","1993",1.38935
"767","Botswana","1994",1.43369
"768","Botswana","1995",1.47759
"769","Botswana","1996",1.52091
"770","Botswana","1997",1.56319
"771","Botswana","1998",1.60401
"772","Botswana","1999",1.64294
"773","Botswana","2000",1.67968
"774","Botswana","2001",1.71401
"775","Botswana","2002",1.74618
"776","Botswana","2003",1.77709
"777","Botswana","2004",1.80783
"778","Botswana","2005",1.84012
"779","Botswana","2006",1.87578
"780","Botswana","2007",1.91342
"781","Botswana","2008",1.95205
"782","Botswana","2009",1.99088
"783","Botswana","2010",2.02931
"784","Brazil","1980",123.01963
"785","Brazil","1981",125.99213
"786","Brazil","1982",129.02765
"787","Brazil","1983",131.96012
"788","Brazil","1984",134.69947
"789","Brazil","1985",137.38198
"790","Brazil","1986",140.19628
"791","Brazil","1987",143.02654
"792","Brazil","1988",145.87275
"793","Brazil","1989",148.65864
"794","Brazil","1990",151.17006
"795","Brazil","1991",153.58396
"796","Brazil","1992",156.03206
"797","Brazil","1993",158.51205
"798","Brazil","1994",161.01706
"799","Brazil","1995",163.54428
"800","Brazil","1996",166.08586
"801","Brazil","1997",168.63874
"802","Brazil","1998",171.20116
"803","Brazil","1999",173.76387
"804","Brazil","2000",176.31962
"805","Brazil","2001",178.86966
"806","Brazil","2002",181.41759
"807","Brazil","2003",183.95992
"808","Brazil","2004",186.4886
"809","Brazil","2005",188.99308
"810","Brazil","2006",191.46901
"811","Brazil","2007",193.91858
"812","Brazil","2008",196.34259
"813","Brazil","2009",198.73927
"814","Brazil","2010",201.10333
"815","Brunei","1980",0.18522
"816","Brunei","1981",0.19283
"817","Brunei","1982",0.19886
"818","Brunei","1983",0.20495
"819","Brunei","1984",0.21122
"820","Brunei","1985",0.21784
"821","Brunei","1986",0.22473
"822","Brunei","1987",0.23182
"823","Brunei","1988",0.23888
"824","Brunei","1989",0.24585
"825","Brunei","1990",0.25289
"826","Brunei","1991",0.25925
"827","Brunei","1992",0.26576
"828","Brunei","1993",0.27311
"829","Brunei","1994",0.2805
